author,title,school,year,pages,ee,publisher,booktitle,address,journal,volume,number,month,url,cdrom,editor,cite,note,crossref,isbn,series,chapter,publnr
Franziska Klügl,"Multiagentensimulation: Konzepte, Werkzeuge, Anwendungen.",Null,2001,1-234,https://d-nb.info/96173972X,Addison-Wesley,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,978-3-8273-1790-2,Null,Null,Null
Thomas Pötsch,Future mobile transport protocols: adaptive congestion control for unpredictable cellular networks.,Null,2016,1-195,https://d-nb.info/1103689096,Springer Vieweg,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,978-3-658-14814-0,Null,Null,Null
Dietrich Kuske,Contributions to a trace theory beyond Mazurkiewicz traces.,"Dresden University of Technology, Germany",2000,1-181,https://d-nb.info/961225726,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
Hagen Reuter,Zur Identifikation nichtlinearer Systemmodelle mit wenig A-priori-Informationen.,Null,1995,1-110,https://d-nb.info/944884962,VDI-Verlag,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,978-3-18-347108-9,Null,Null,Null
"Ingo Engert-Oostingh, Claudia Helena Breitfuss-Horner, Fritz Schweiger",Fachdidaktische Studien II.,"University of Salzburg, Austria",2016,1-152,https://d-nb.info/1096344599,Shaker Verlag,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,978-3-8440-4276-4,Null,Null,Null
Christoph Knieke,Managed Evolution of Automotive Software Product Line Architectures.,"Clausthal University of Technology, Clausthal-Zellerfeld, Germany",2019,Null,"http://www.dr.hut-verlag.de/978-3-8439-4205-8.html, https://nbn-resolving.org/urn:nbn:de:101:1-2019110122350057754631, https://d-nb.info/1198542608",Verlag Dr. Hut,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
Ulrike Reiner,Anfragesprachen für Informationssysteme.,"Technical University of Berlin, Germany",1991,1-237,https://d-nb.info/920167926,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,978-3-925474-11-8,Null,Null,Null
Markus Lohrey,Computational and logical aspects of infinite monoids.,"University of Stuttgart, Germany",2003,1-13,https://d-nb.info/968928331,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
Karin Dollhausen,Technik - Konstruktionen: neue Technologien als soziologisches Theorieproblem.,"RWTH Aachen, Germany",1997,1-152,https://d-nb.info/949388432,Centaurus-Verlag-Ges.,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,3-8255-0111-6,Null,Null,Null
Eva Köhl,Dezentralisierung betrieblicher EDV-Systeme.,"RWTH Aachen University, Germany",1994,1-144,https://d-nb.info/944058914,Verlag der Augustinus-Buchhandlung,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,978-3-86073-243-4,Null,Null,Null
Martin Käppner,Computergestützte Steuerungs- und Positionierverfahren für Elektrohängebahnsysteme.,Null,1995,1-138,https://d-nb.info/943235391,Verlag Praxiswissen,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,978-3-929443-24-0,Null,Null,Null
Günter Wohlers,Schuldnerberatung im Wandel: von der traditionellen Sozialarbeit zur computergestützten Dienstleistung.,Null,1997,1-213,https://d-nb.info/950243531,Shaker,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,3-8265-2389-X,Null,Null,Null
Frank Ohlhaver,Zur Etablierung der privaten Computerhandhabung: eine Grundlagenstudie am Fall der Computerbenutzung Jugendlicher.,Null,1996,1-288,https://d-nb.info/945700849,Lang,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,3-631-49726-1,Null,Null,Null
Rolf-Jürgen Schlenkrich,Leitfaden zum Aufbau einer Fertigungsdatenbank für Maschinenbauunternehmen.,Null,1995,Null,https://d-nb.info/943977541,Shaker,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,978-3-8265-5110-9,Null,Null,Null
Torbjørn Nordgård,A GB related parser for Norwegian.,Null,1993,1-331,https://d-nb.info/930298241,Lang,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,978-3-906750-65-1,Null,Null,Null
Eberhard Kurz,Projektierungsverfahren für technische Software dargestellt an wissensbasierten Systemen.,University of Stuttgart,1996,1-129,https://d-nb.info/948153075,Springer,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,3-540-61426-5,Null,Null,Null
Wolfgang Roßmann,"Rechnergestützter Layoutentwurf von Hybridschaltungen: Widerstandsberechnung, Entwurfsschritte, Layoutüberprüfung.",Null,1989,1-134,https://d-nb.info/881459763,Springer,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,978-3-540-50655-3,Null,Null,Null
Michael Banf,Making the Visual World Audible - Auditory Image Understanding for the Visually Impaired Based on a Modular Computer Vision Sonification Model.,Null,2013,1-286,"https://nbn-resolving.org/urn:nbn:de:101:1-20140428791, https://d-nb.info/1044175249, https://d-nb.info/1050355423",Shaker,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,978-3-8440-2399-2,Null,Null,Null
Johannes Hund,Drahtlose industrielle Automatiserung durch Ultrawideband-Impulsfunk: Ein robustes drahtloses Kommunikationssystem für die industrielle Automatisierung unter harten Echtzeitbedingungen.,Null,2012,Null,"https://www.svh-verlag.de, https://nbn-resolving.org/urn:nbn:de:101:1-20121024511, https://d-nb.info/1027141455",Südwestdeutscher Verlag für Hochschulschriften,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
Andreas Niekler,Automatisierte Verfahren für die Themenanalyse nachrichtenorientierter Textquellen.,Null,2018,1-258,https://d-nb.info/1124697330,Herbert von Halem Verlag,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,978-3-86962-261-3,Null,Null,Null
Harald B. Karcher,"Büro der Zukunft: Mikrocomputer u. Telekommunikation: e. Gesamtschau zu Technik, Organisation u. Marketing.","Ludwig Maximilian University of Munich, Germany",1985,1-422,https://d-nb.info/861004981,Fachverlag für Büro- u. Organisationstechnik,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,978-3-9800746-8-1,Null,Null,Null
Peter Weber,Konzipierung von Hardware-Software-Funktionen für Kommunikationsgeräte mit Mikroprozessoren.,"University of Duisburg-Essen, Germany",1991,1-153,https://d-nb.info/911388761,VDI-Verlag,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,978-3-18-146010-8,Null,Null,Null
Leo Pfefferer,"Objektzentrierte Visualisierung mehrdimensionaler Daten als Erweiterung konventioneller Datenbankmodelle, 2., unveränderte Auflage.","Technical University of Munich, Germany",2019,1-190,https://d-nb.info/1196226806,utzverlag GmbH,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,978-3-8316-8391-8,Null,Null,Null
Julia Sarah Hagel,Digital assistants in E-Services: Kurzzusammenfassung in deutscher Sprache zur kumulativen Dissertation.,"Catholic University of Eichstätt-Ingolstadt, Germany",2021,Null,"https://opus4.kobv.de/opus4-ku-eichstaett/frontdoor/index/index/docId/628, https://nbn-resolving.org/urn:nbn:de:bvb:824-opus4-6288, https://d-nb.info/1224967801",Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
Wolfgang Lehner,Multidimensionale Datenbanksysteme: Modellierung und Verarbeitung.,Null,1999,1-290,https://d-nb.info/958035903,Teubner,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,978-3-519-00310-6,Null,Null,Null
Sandra Schulz,Physical Computing als Mittel der wissenschaftlichen Erkenntnisgewinnung in der Informatik und als fächerverbindende MINT-Arbeitsweise.,Null,2019,1-257,https://d-nb.info/1198243554,Logos Verlag,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,978-3-8325-5007-3,Null,Null,Null
Peter Raith,Programmierung und Simulation von Zellenabläufen in der Arbeitsvorbereitung.,Null,1995,1-126,https://d-nb.info/943683882,Springer,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,978-3-540-58223-6,Null,Null,Null
Mario Kubek,Interaktive Anwendungen kontextbasierter Suchverfahren.,"University of Hagen, Germany",2014,1-107,https://d-nb.info/1065399049,VDI-Verlag,Null,Null,Null,839,Null,Null,Null,Null,Null,Null,Null,Null,978-3-18-383910-0,Fortschritt-Berichte VDI Reihe 10,Null,Null
Frank Victor,Wissensbasierte Pr-T-Netze zur Planungsunterstützung in offenen Systemen.,Null,1992,1-194,https://d-nb.info/920293549,Oldenbourg,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,978-3-486-22224-1,Null,Null,Null
Maria Semenyak,Full semantics preservation in model transformation.,University of Paderborn,2012,1-209,https://d-nb.info/1023542331,Monsenstein und Vannerdat,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,978-3-86991-589-0,Null,Null,Null
Klaus Möller,Signalgruppenorientiertes Modell zur Optimierung von Festzeitprogrammen an Einzelknotenpunkten.,"Karlsruhe Institute of Technology, Germany",1987,1-22,https://d-nb.info/871285371,"ifv, Kalsruhe, Germany",Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
Helmut Hansmaier,Rechnergestützte Verfahren zur Geräuschminderung.,Null,1993,1-144,https://d-nb.info/930581113,Springer,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,978-3-540-56043-2,Null,Null,Null
Thomas Stahs,Objekterkennung mit einem aktiven 3D-Robotersensorsystem.,Null,1996,1-359,https://d-nb.info/946948011,Shaker,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,3-8265-1317-7,Null,Null,Null
Ralf Müller,Die dynamische Logik des Erkennens von Charles S. Peirce.,"University of Mainz, Germany",1999,1-278,https://d-nb.info/95369920X,Königshausen und Neumann,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,978-3-8260-1542-7,Null,Null,Null
Michael Koch 0001,Kooperation bei der Dokumentenbearbeitung: Entwicklung einer Gruppeneditorumgebung für das Internet.,Technical University Munich,1997,1-214,https://d-nb.info/95011958X,DUV,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,3-8244-2083-X,Null,Null,Null
Hajo Drott,Computerbild: Wirklichkeit und Fiktion.,Null,1997,1-425,https://d-nb.info/954828550,dot-Verlag,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,3-930617-06-4,Null,Null,Null
Hua-Wei Shen,Community structure of complex networks.,Null,2013,1-117,https://d-nb.info/1023448033,Springer,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,978-3-642-31820-7,Null,Null,Null
Brigitte Werners,Unterstützung der strategischen Technologieplanung durch wissensbasierte Systeme.,"RWTH Aachen University, Germany",1993,1-376,https://d-nb.info/931483115,Verlag der Augustinus-Buchhandlung,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,978-3-86073-159-8,Null,Null,Null
Carlotta Piscopo,The metaphysical nature of the non-adequacy claim: an epistemological analysis of the debate on probability in artificial intelligence.,Null,2013,1-146,https://d-nb.info/1027422780,Springer,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,978-3-642-35358-1,Null,Null,Null
